state,locale,entry
Oregon,Astoria,"A small group protested in front of the Post Office on May 29. On May 31, another protest was held in front of the Maritime Museum where George Floyd protesters were met with a counter protest."
Oregon,Bend,Hundreds attended a Justice for George Floyd rally in downtown Bend.
Oregon,Corvallis,"Protestors gathered around city hall with signs in support and recognition of the Black Lives Matter movement, flashing the signs toward passing vehicles. Many drivers honked their horns and shook their fists as an act of solidarity for the group.Activists could be seen chanting around the sidewalks of downtown Corvallis, eventually making their way to the local police station. Most chants were designed to remember the memory of George Floyd and highlight the perceived racial inequities seen throughout the country. The protest was entirely peaceful in its nature, taking place over the course of two hours and involved around 50 protestors. There were few signs of involvement from law enforcement throughout the protest, limited to a single sheriff's vehicle driving past the crowd. On May 31, about 2000 people chanted ""No Justice, No Peace"" outside the Benton County Courthouse. American Sign Language interpreters translated the passionate speeches."
Oregon,Eugene,"A crowd of around 300 people gathered on May 29 to protest downtown. Some protesters disrupted traffic and knocked trash and newsstands into the street in the downtown. Rioters crowded on to Highway I-105 and began setting fire to a nearby road sign. That night, fires were set and windows were smashed. Around 11 p.m., they created a bonfire in the street, consisting of throwing in traffic cones, newspapers, signs from local businesses, and other items. No arrests were made."
Oregon,Hermiston,"On June 1st, about 60 protesters stood on an intersection, holding signs reading “Black Lives Matter,” “No Justice, No Peace,” “All lives don’t matter until black lives matter,” and other messages."
Oregon,Medford,"A group of protesters marched through the streets of Medford, on June 1st, with some demonstrators lying in the street for 9 minutes to honor George Floyd."
Oregon,Pendleton,"Approximately 150 people protested at Roy Raley Park chanting ""No justice, no peace"" on June 1st."
Oregon,Portland,"Main article: George Floyd protests in Portland, Oregon"
Oregon,Prineville,"Around 150 Black Lives Matters protesters came out on May 31st in front of the Crook County Courthouse, along with a similar number of counterprotestors."
Oregon,Salem,"More than 200 demonstrators marched around the Oregon State Capitol Building on May 30. A police spokesman claimed the reason they used tear gas to break up the protest is because hard objects and ""explosive devices"" were thrown. The mayor issued an indefinite nightly curfew because ""there was no reason to take a chance on a few ""misguided individuals"" destroying public and private property. """
Pennsylvania,Allentown,"A subdued rally occurred Saturday night at Seventh and Hamilton Streets. Mayor Ray O'Connell spoke to the crowd but was heckled for claiming ""This is not my America!"""
Pennsylvania,Bethlehem,Hundreds of demonstrators demanded an end to police brutality at the Bethlehem Rose Garden followed by a march to City Hall on Saturday.
Pennsylvania,Bloomsburg,"Around 500 people at a peaceful protest, rallying for an end to police brutality and racism."
Pennsylvania,Bradford,Roughly 15 protestors assembled at Veterans Square on June 1.
Pennsylvania,Butler,"Protesters gathered at Diamond Park on June 1, resulting in 8 people arrested."
Pennsylvania,Carlisle,About 80 protesters rallied against police brutality and demanded justice for George Floyd on May 30.
Pennsylvania,Chambersburg,Over 75 protesters peacefully gathered to demand justice for George Floyd on June 1.
Pennsylvania,Doylestown,Hundreds of protesters marched and chanted for justice for George Floyd on June 1.
Pennsylvania,Dubois,A handful of protesters peacefully rallied on Liberty Boulevard on June 1.
Pennsylvania,Easton,"An estimated 1500 protesters came out to Center Square, and marched several laps on the streets before marching to City Hall."
Pennsylvania,Erie,"Several hundred people chanted ""No Justice! No Peace!"" and carried signs reading ""I Can't Breathe"" in and around Perry Square on Saturday, turning violent in the evening. Protesters vandalized city hall, businesses were looted and vandalized, a small fire was set at the Erie Otters office, and water bottles and fireworks were thrown at police. A man was shot in the thigh around 11 PM on Saturday as well."
Pennsylvania,Greensburg,Roughly 200 protestors assembled peacefully and marched from the county courthouse to Saint Clair Park on June 1.
Pennsylvania,Hanover,"Protesters peacefully stood in a multi-day rally titled, like many other nationwide rallies, ""Black Lives Matter""."
Pennsylvania,Harrisburg,"Protesters surrounded a police car after a peaceful rally that began at the State Capitol, riot police were summoned to shoot pepper spray into the crowd."
Pennsylvania,Hermitage,"On May 31, 2020, nearly 200 protesters marched and laid on the streets causing police to direct traffic away from the location. Protesters stood and chanted in front of the National Guard office in the region. The local Walmart was evacuated and closed early. The crowd was mostly peaceful."
Pennsylvania,Hollidaysburg,Hundreds of protesters rallied at the amphitheater in Canal Basin Park at 6 p.m. to protest the death of George Floyd.
Pennsylvania,Kennett Square,Nearly a thousand protesters peacefully rallied in downtown Kennett to protest the death of George Floyd.
Pennsylvania,King of Prussia,"On the night of May 30, looters targeted the King of Prussia shopping mall. The windows to the Macy's store at the mall were broken while windows were also broken at a nearby AT&T store. A total of 12 people were arrested. A curfew was implemented in Upper Merion Township."
Pennsylvania,Lancaster,"Hundreds of protesters peacefully gathered at a rally named ""We've had enough, time to stand"" on Saturday morning."
Pennsylvania,Levittown,About 50 protesters gathered at the Five Points intersection on May 31 for a peaceful protest.
Pennsylvania,Lewisburg,"On May 31, protesters held signs on the intersection of Routes 15 & 45."
Pennsylvania,Meadville,Over 150 protestors took to the street on May 31 to protest the killing of George Floyd.
Pennsylvania,Milton,"Around 200 protesters marched peacefully on May 31, holding signs and making speeches. After about two hours, the protest grew heated, filling Filbert Street in front of the police department. The protesters called for two of the Union County Sheriff's deputies called in to assist Milton police to join the crowd. Milton Police Officer Laura Messa later came out to shake hands with the protesters."
Pennsylvania,New Castle,About 100 protesters peacefully marched through downtown on the afternoon of May 31 led by Mayor Chris Frye and the city's police chief.
Pennsylvania,Philadelphia,Main article: George Floyd protests in Philadelphia
Pennsylvania,Pittsburgh,"More than 3,000 protesters marched through downtown Pittsburgh on the afternoon of May 30. The initially peaceful protest turned into a riot resulting in injuries, looting, and burning of police cars. Police dispersed tear gas in response. Two journalists from KDKA-TV were injured when protesters ""stomped and kicked"" them and destroyed their camera.Mayor Bill Peduto denounced the vandals as ""anarchists, hell bent on chaos and destruction,"" who ""hijacked a peaceful march for justice and exploited it for their own selfish agenda."" At least 45 people were arrested and a curfew was set from 8:30 pm until 6 am. On Sunday, May 31, a group of about 150 protestors marched from Market Square to the courthouse on Grant Street. Officials said there were no incidents to report. Pittsburgh Police also identified the suspect who allegedly was seen on camera destroying a police car on May 30. A warrant has been issued for his arrest."
Pennsylvania,Pottstown,"A small protest demanding justice for George Floyd was held in Pottstown on June 1, the protest was joined by the Pottstown Police."
Pennsylvania,Punxsutawney,Punxsutawney area students held a protest in support of Black Lives Matter in Barclay Square on June 1.
Pennsylvania,Reading,"Hundreds of protesters rally in Reading to demand justice for George Floyd on May 31, and June 1."
Pennsylvania,Scranton,Dozens of people peacefully protested at Courthouse Square on Saturday.
Pennsylvania,Selinsgrove,"On May 31, around 300 protesters held a candlelight march to pay their respects to George Floyd and others who have died at the hands of the police."
Pennsylvania,Sharon,"On May 31, 2020, protesters temporarily blocked traffic. The protests were peaceful."
Pennsylvania,State College,"More than 1000 community members nonviolently protested for about four hours at a rally organized by an area high school student, marching from Penn State's campus to the State College police department. Speakers included a former Penn State basketball player, the mayor, and local high school and university student leaders. The mother of Osaze Osagie, an African-American man killed after a confrontation with State College police in 2019, spoke out."
Pennsylvania,Stroudsburg,About 300 people attended a vigil organized by the local chapter of the NAACP at the Monroe County Courthouse on May 31.
Pennsylvania,Upper Darby,"On May 31, peaceful protests occurred before businesses were looted in the 69th Street business district. A total of 12 people were arrested. A curfew was implemented by the township."
Pennsylvania,Washington,Protestors gathered in front of the county courthouse on May 31.
Pennsylvania,West Chester,More than 40 protesters gathered at the historic Chester County Courthouse on May 31. Several demonstrators returned on June 1 and pledged to come back every evening this week.
Pennsylvania,Wilkes-Barre,"Dozens of people held up signs and chanted ""Black Lives Matter"" at a center city public square on Saturday."
Pennsylvania,York,"For two consecutive days over 1,000 protesters demonstrated against the death of George Floyd, and against police brutality, holding signs reading ""Black Lives Matter"" and ""Racism is not tolerated here""."
Puerto Rico,San Juan,Over 200 people protested in San Juan. Police officers used pepper spray on the protestors.
Rhode Island,Providence,"Nearly 1,000 people protested at the State House lawn at a peaceful rally organized by Black Lives Matter Rhode Island. Later that night the building was vandalized. On the night of June 1, rioters set a police car on fire and looted several stores. Some rioters also broke into the Providence Place Mall and stole items. At least 65 people were taken into custody. A 9 p.m.–6 a.m. curfew was subsequently imposed upon the City of Providence beginning June 2, and similar curfews were implemented in the neighboring cities of Central Falls, Cranston and Warwick."
South Carolina,Charleston,"The city issued a curfew after protests resulted in vandalism of public property and statues and some protesters threw rocks at police and citizens. Additionally, several businesses and restaurants had glass windows busted. Two men wearing MAGA hats were assaulted. At one point, police in riot gear used tear gas to stall protesters. Protesters halted traffic on Interstate-26. The following day, a group of 200 protesters formed in Marion Square."
South Carolina,Columbia,"On May 30, 2020, protesters marched from the South Carolina Statehouse to the city of Columbia police station. Several businesses and restaurants in the nearby business district were vandalized. Mayor Stephen K. Benjamin announced a mandatory 6 p.m. curfew for the city. Four police officers were injured, one critically. Later that night shots were fired at police, and the shooters were arrested. The officers did not return fire."
South Carolina,Greenville,"On May 30, two protests were held at Peace Center and Falls Park. Not affiliated with Black Lives Matter, the first event was attended by Mayor Knox White. About 300 people marched at the second protest, some arrests were made."
South Carolina,Myrtle Beach,"Hundreds of protesters attended a rally downtown on the morning of May 31. Protesters initially blocked the entrance to the Myrtle Beach Police Station in what felt like a ""standoff"" but when officers joined in and the Chief addressed the crowd cheered. Mayor Brenda Bethune declared a civil emergency due to a ""credible threat"" against police related to the protest. A curfew was set to start at 7pm May 31."
South Dakota,Rapid City,"George Floyd's uncle Selwyn Jones spoke at an event held at Memorial Park on May 29. He said his nephew was ""was always smiling and laughing.” The rally ended with a performance by Native American musicians. The Chief of Police expressed regrets that he could not attend the memorial."
South Dakota,Sioux Falls,"A protest march was held in downtown Sioux Falls on May 31, ending outside the Sioux Falls and Minnehaha County Law Enforcement Center. George Floyd's uncle spoke about the beautiful protest and thanked the protestors for honoring his nephew. The event organizers for the downtown event emphasized nonviolence to honor George Floyd. However, some protestors later traveled to Sioux Empire Mall, and began to throw rocks and break windows. Some protestors asked the rock throwers to stop and even formed a line in front of the police to quell the actions against police, but without success. Gov. Kristi Noem declared a state of emergency, from 10pm on May 31, to 7am on June 1. Seventy members of the National Guard were activated. SWAT and National Guard teams then assisted in enforcing curfew, but rioting and looting continued at the mall and other nearby stores."
Tennessee,Chattanooga,"Hundreds protested at Miller Park followed by a march across the Walnut Street Bridge at mid-day on May 30. On May 31, protesters marched from Coolidge Park to the Hamilton County Courthouse. After protesters removed some light fixtures and tore down a flag near the courthouse, the National Guard, the Tennessee Highway Patrol and Chattanooga Police Department began arresting people and dispersing the crowds with tear gas."
Tennessee,Knoxville,Hundreds of protesters demonstrated on Friday evening in front of police headquarters and then marched through downtown Knoxville.
Tennessee,Memphis,"Silent demonstrations of around 40 people protesting the deaths of Floyd, Breonna Taylor in Kentucky, and Ahmaud Arbery, led to ""verbal confrontations"" with Memphis police and two counter-protesters from the Facebook group ""Confederate 901."" On May 27, protesters shut down Union Avenue near McLean Boulevard. Just after midnight Saturday night, police in riot gear clashed with a large crowd on Beale Street. Shelby County Commissioner Tami Sawyer, who was on scene, tweeted: “Memphis police have threatened to use lethal force if we don’t leave the parking lot. They have arrested our friends. We’re not leaving."" On Sunday Evening May 31, the fifth straight day of protests, more riot police attempted to disperse a crowd of 100 that were occupying Main Street."
Tennessee,Murfreesboro,"On May 31, a group of about 50 protesters marched toward a building on the Tennessee State University campus named after Nathan Bedford Forrest but were stopped by police in armored vehicles. Police accused protesters of vandalizing an armored car and throwing a brick through the window of a local business. A 12-year-old girl was injured by tear gas. Mayor Shane McFarland issued a state of emergency order. A curfew was in effect as of 6:30pm."
Tennessee,Nashville,"Thousands gathered at a protest occurred Saturday afternoon in downtown Nashville; protesters peacefully demonstrated in Legislative Plaza and then marched to a police department. In the evening, the crowd damaged a police car, threw rocks and sprayed graffiti; at least 5 were arrested. Mayor John Cooper declared a state of emergency and called in the national guard after a spate of arsons, including the burning of Nashville's courthouse."
Texas,Abilene,Dozens marched around the city after gathering at the Abilene Police Department for a protest on May 31.
Texas,Amarillo,"A crowd of more than 100 marched from City Hall to Sam Houston Park starting around 10am on May 31. There were some conflicts with ""armed individuals"" and a group that ""came to protect the city and community from destruction."""
Texas,Arlington,"On Monday, June 1, the first protests over Floyd's death occurred. As night fell, rioting began, with businesses near AT&T Stadium looted. Six people were arrested by police.Two hundred protestors gathered at Arlington City Hall on Tuesday, June 2."
Texas,Austin,"Protesters demonstrated in downtown Austin on Friday night; police arrested at least nine people. On May 30 thousands of protesters gathered outside Austin Police Department's headquarters. They then climbed on to I-35, stopping traffic on both sides. Demonstrators in Austin were also protesting over the killing of Mike Ramos on April 24, 2020, by Austin police officers. On May 29, Travis County District Attorney Margaret Moore announced that the shooting will go to a grand jury."
Texas,Corpus Christi,Hundreds of people protested outside the City Hall building and marched their way towards downtown Corpus Christi on May 31.
Texas,Dallas,"Almost a thousand people protested in front of the Dallas Police Headquarters. The gathering and march organized was by the Next Generation Action Network. On the night of May 29, some demonstrators broke windows, looted businesses, set fires to dumpsters, trash cans, and patrol cars. Several police cruisers were damaged in the Deep Ellum neighborhood and downtown Dallas. One group of protesters then walked onto the freeway and blocked traffic on Interstate 35, shutting down traffic and torching a parked car. A man with a machete was badly injured by a mob. Video shows the man being beaten by 10-15 men. Objects used in the attack included a skateboard and several medium-sized rocks. Mayor Eric Johnson said that while the protests were largely respectful, the looting and destruction of property could not be allowed."
Texas,El Paso,"On the night of May 29, the headquarters of the El Paso Police Department on Raynor Street was vandalized with graffiti reading ""RIP George Floyd"" and ""No Justice No Peace"". Two days later, on the night of Sunday, May 31, hundreds of protesters gathered in Memorial Park and knelt for an eight-minute moment of silence before marching to the El Paso Police Department. El Paso Police had asked on Twitter for ""the public's support in making this a peaceful assembly as a tribute and in honor of Mr. George Floyd"", and El Paso native Khalid encouraged the public to stay safe."
Texas,Fort Worth,Community activists marched from the historic Tarrant County Courthouse to the Fort Worth Convention Center without incident on May 29. About 200 peaceful protesters gathered downtown on May 30.
Texas,Frisco,"Hundreds of protesters attended a rally on June 1st against police brutality, including the city's mayor and police chief"
Texas,Houston,"Large numbers protested in George Floyd's hometown. Mayor Sylvester Turner made calls for unity and peace. Over 200 people were arrested, most with obstructing a roadway. According to police reports four officers suffered minor injuries and eight police vehicles were damaged. Houston police stated that they were investigating a video that appeared to show a female protester being trampled by a police officer on a horse.  On Tuesday, June 2, thousands of people gathered for a march and rally in downtown Houston.  Family members of George Floyd joined the march, which one source estimated at 60,000 people."
Texas,Laredo,Over 100 people gathered at the City Hall building on May 30 and June 1 to peacefully protest police brutality and systemic racism.
Texas,Lubbock,Nearly 200 people took a stand against racism and police brutality at Tim Cole Memorial Park on May 30.
Texas,San Antonio,"Several thousand people protested peacefully downtown outside the San Antonio Public Safety Headquarters. Members of the This Is Texas Freedom Force, an armed right-wing group, stood guard in front of the Alamo and the adjacent Alamo Cenotaph memorial. The initially peaceful protests later erupted into riots, with police firing rubber bullets and deploying tear gas in order to disperse crowds; several businesses and city sites were damaged, resulting in the arrests of three San Antonio residents and one resident of nearby Uvalde. Three officers were reported injured following the protests."
Texas,Texarkana,"On Saturday afternoon, May 30, 70 to 100 protesters gathered peacefully at the State Line Post Office to listen to speeches, then marched to downtown before returning northward to a parking lot at State Line and Arkansas Boulevard, where the crowd grew and passing motorists honked in support.(Note: this entry is also listed in the Arkansas section above.)"
Utah,Ogden,"Around 1,000 people attended the ""Take a Knee"" protest in front of the Ogden City Municipal Building after turnout was only expected to reach 70 to 200; police barricaded numerous streets due to this higher-than-anticipated turnout. It was largely peaceful, with protestors opting to utilize verbal chants and speeches rather than violence. After the conclusion of the protest, protestors shook hands with police officers."
Utah,Provo,"A small car caravan organized by Utah County Against Police Brutality raised awareness on May 30 for George Floyd and Bernardo Palacios who was killed by Salt Lake City Police on May 23. Later that afternoon evening, between ""dozens"" and ""hundreds"" of protesters demonstrated in front of the Provo Police Department building downtown."
Utah,Salt Lake City,"On Friday, around 150 to 200 people protested downtown at 900 South and State Street. On Saturday, downtown was packed as hundreds drove and marched peacefully from the Salt Lake City police headquarters to the state capitol on capitol hill, where about a thousand people gathered. Protesters sprayed graffiti on parts of the Utah State Capitol Building. The protests downtown later turned violent as protesters overturned a SLCPD police cruiser and set it ablaze. Far-right extremist groups arrived carrying firearms. A man who identified himself as Brandon McCormick drove his vehicle into the crowd and aimed a bow and arrow at protesters, reportedly fired off an arrow, after responding to a stranger who asked him if he calls himself an American with: ""Yes, I'm American. All lives matter."" This prompted other protesters to tackle him to the ground and overturn his car, which caught on fire. An elderly man with a cane who was standing on a sidewalk was knocked to the ground by a police officer in riot gear. Governor Gary Herbert activated the National Guard, deploying 200 soldiers and a Black Hawk helicopter. Mayor Erin Mendenhall was on board the military helicopter and imposed the city's first citywide curfew from Saturday night to Monday morning. Police from thirteen other cities and from the county sheriff were brought into Salt Lake City, using a high school as a staging area. Highway patrol troopers and U.S. marshals were stationed at capitol hill. Police used armored vehicles and tear gas and fired rubber bullets at protesters. All the graffiti at the capitol was removed as the curfew continued through Sunday. After it lifted on Monday, troops and military vehicles continued to be stationed at several locations downtown. Hundreds gathered for a largely peaceful protest at the police headquarters. Mendenhall issued another curfew order, this time only at night times but lasting a week. Herbert declared an emergency closing the capitol to the public, and the capitol remained under heavy guard."
Vermont,Brattleboro,"Hundreds of protesters lined Main Street ""one end to the other"" with many slogans and the names of African Americans killed by the police."
Vermont,Burlington,Hundreds of people began protesting in Battery Park and moved toward the Burlington Police Department.
Vermont,Montpelier,Hundreds of people protested at the intersection of State and Main Streets.
Virginia,Beckley,"As many as 50 protesters met at the corner of Robert C. Byrd Drive and Neville Street on Sunday, May 31, for a peaceful demonstration."
Virginia,Charleston,A group of protesters marched around the West Virginia State Capitol complex on May 30. Hundreds of people protested police brutality outside of Charleston City Hall and the Charleston Police Department on May 31.
Virginia,Fairmont,A large group marched through the streets of downtown Fairmont with police on the scene{when}}. Hundreds filled the streets.
Virginia,Huntington,"There were two protests in Huntington,[when?] one at Ritter Park and a second one at Pullman Square."
Virginia,Morgantown,Protesters gathered on the downtown campus of West Virginia University.[when?]
Virginia,Wheeling,Hundreds of people participated in a protest in downtown Wheeling[when?].
Washington,Beckley,"As many as 50 protesters met at the corner of Robert C. Byrd Drive and Neville Street on Sunday, May 31, for a peaceful demonstration."
Washington,Charleston,A group of protesters marched around the West Virginia State Capitol complex on May 30. Hundreds of people protested police brutality outside of Charleston City Hall and the Charleston Police Department on May 31.
Washington,Fairmont,A large group marched through the streets of downtown Fairmont with police on the scene{when}}. Hundreds filled the streets.
Washington,Huntington,"There were two protests in Huntington,[when?] one at Ritter Park and a second one at Pullman Square."
Washington,Morgantown,Protesters gathered on the downtown campus of West Virginia University.[when?]
Washington,Wheeling,Hundreds of people participated in a protest in downtown Wheeling[when?].
West Virginia,Beckley,"As many as 50 protesters met at the corner of Robert C. Byrd Drive and Neville Street on Sunday, May 31, for a peaceful demonstration."
West Virginia,Charleston,A group of protesters marched around the West Virginia State Capitol complex on May 30. Hundreds of people protested police brutality outside of Charleston City Hall and the Charleston Police Department on May 31.
West Virginia,Fairmont,A large group marched through the streets of downtown Fairmont with police on the scene{when}}. Hundreds filled the streets.
West Virginia,Huntington,"There were two protests in Huntington,[when?] one at Ritter Park and a second one at Pullman Square."
West Virginia,Morgantown,Protesters gathered on the downtown campus of West Virginia University.[when?]
West Virginia,Wheeling,Hundreds of people participated in a protest in downtown Wheeling[when?].
Wisconsin,Appleton,Over one thousand people gathered in downtown Appleton on May 30 and 31 for a peaceful protest down College Avenue to Houdini Plaza and the Appleton Police Department.
Wisconsin,Eau Claire,Hundreds marched from Phoenix Park to Owen Park through downtown Eau Claire on May 31.
Wisconsin,Green Bay,"On the evening of May 30 and the afternoon of May 31, there were peaceful protests held in downtown Green Bay. However, on the evening of the 31st, a Marathon gas station was looted, and several shots were fired. The police moved in to access any injuries, at which point, the crowd turned on them, throwing rocks. Police dispersed the crowd with gas."
Wisconsin,La Crosse,"On the evening of May 29 and 30, 2020, there was peaceful protests held in downtown La Crosse."
Wisconsin,Madison,"On May 30, there was a peaceful demonstration at the State Capitol with around 1000 attendees. As the evening progressed, it evolved into a minor riot with some storefronts on State Street getting damaged, and a conflict with police that was met with tear gas. A neighborhood curfew was declared by Mayor Satya Rhodes-Conway."
Wisconsin,Milwaukee,"On May 29, hundreds of protesters blocked highways and organized a vehicle procession that traveled several miles. There were reports of looting and mild arson at a Walgreens pharmacy, as well as the looting of a Boost Mobile store. Several other businesses were damaged. In addition, one police officer was mildly injured by gunfire. Protests over the killing of Joel Acevedo by an off-duty Milwaukee police officer were prompted by the George Floyd protests."
Wisconsin,Wausau,"On the afternoon of May 29, approximately 150 to 200 people participated in a protest near the Marathon County Courthouse in downtown Wausau."
Wyoming,Cheyenne,"On Friday evening, May 29, about 125 protesters attended a candlelight vigil near the steps of the state capitol. There were protests held on May 30 and 31."
Wyoming,Jackson,Over 150 people protested peacefully at Town Square on May 31.
